energy (eV),13027->13027,13027->8016,8016->13027,8016->8016
18,1,0,0,1
18.9,1,0,0,1
19.845,1,0,0.00122537,0.998775
20.8373,1,0,0.00422621,0.995774
21.8791,1,0,0.0082993,0.991701
22.9731,1,0,0.0134255,0.986575
24.1217,1,0,0.0192677,0.980732
25.3278,1,0,0.0257094,0.974291
26.5942,1,0,0.0329372,0.967063
27.9239,1,0,0.0409971,0.959003
29.3201,1,0,0.0498376,0.950162
30.7861,1,0,0.0593104,0.94069
32.3254,1,0,0.0694055,0.930594
33.9417,1,0,0.0802862,0.919714
35.6388,1,0,0.0919159,0.908084
37.4207,1.00401,0,0.104234,0.895766
39.2917,1.01194,0,0.11723,0.882771
41.2563,1.02148,0,0.130758,0.869254
43.3191,1.03256,0,0.144998,0.855047
45.4851,1.04551,0,0.159896,0.840217
47.7594,1.05947,0,0.175408,0.824822
50.1473,1.07485,0,0.191528,0.808881
52.6547,1.09129,0,0.208232,0.79243
55.2874,1.109,0,0.225489,0.775517
58.0518,1.1279,0,0.243279,0.758174
60.9544,1.14816,0,0.261574,0.740446
64.0021,1.16928,0,0.280716,0.724323
67.2022,1.19151,0,0.302027,0.716091
70.5623,1.21512,0,0.324642,0.710449
74.0904,1.23964,0,0.34891,0.705946
77.795,1.26533,0.000212569,0.375262,0.701664
81.6847,1.29034,0.00259089,0.40341,0.697467
85.7689,1.31554,0.00616368,0.433378,0.69388
90.0574,1.34114,0.0106871,0.465071,0.689876
94.5603,1.36742,0.0160763,0.498608,0.685934
99.2883,1.39483,0.022259,0.533941,0.682186
104.253,1.42312,0.0292055,0.571055,0.678313
109.465,1.45218,0.0368944,0.609947,0.674674
114.939,1.48245,0.0453132,0.650454,0.671173
120.686,1.51702,0.0544676,0.69282,0.667792
126.72,1.55745,0.0643516,0.736808,0.665004
133.056,1.60206,0.0749809,0.782672,0.662604
139.709,1.64979,0.0863601,0.830215,0.660497
146.694,1.70102,0.098501,0.879856,0.65969
154.029,1.75593,0.11142,0.93403,0.664616
161.73,1.81386,0.12513,0.991227,0.671881
169.817,1.87524,0.139674,1.05181,0.681067
178.307,1.9406,0.155089,1.11575,0.69212
187.223,2.00922,0.171415,1.18315,0.704689
196.584,2.08168,0.188693,1.25405,0.718603
206.413,2.15817,0.206967,1.32877,0.734132
216.734,2.23882,0.226282,1.40729,0.750975
227.571,2.32376,0.246681,1.48976,0.769213
238.949,2.41254,0.268222,1.57643,0.788532
250.897,2.50668,0.290957,1.66756,0.809528
263.441,2.60526,0.314941,1.76333,0.831916
276.613,2.70906,0.340232,1.86385,0.855664
290.444,2.818,0.366893,1.96946,0.880863
304.966,2.93267,0.39499,2.08033,0.907514
320.215,3.05316,0.424592,2.19681,0.935877
336.225,3.17943,0.455759,2.31882,0.965561
353.037,3.31241,0.488586,2.44714,0.997092
370.688,3.4519,0.523143,2.58188,1.03045
389.223,3.59858,0.559499,2.72306,1.06549
408.684,3.75236,0.597766,2.8715,1.10252
429.118,3.91383,0.638024,3.0272,1.14139
450.574,4.08351,0.680348,3.19034,1.18229
473.103,4.26137,0.724848,3.36142,1.22523
496.758,4.44824,0.771639,3.54099,1.27051
521.596,4.64428,0.820835,3.72942,1.31799
547.676,4.85028,0.872551,3.92716,1.36794
575.059,5.06642,0.926909,4.13466,1.42044
603.812,5.29332,0.984038,4.35233,1.47543
634.003,5.53168,1.04407,4.58074,1.53339
665.703,5.78159,1.10714,4.82032,1.59407
698.988,6.04391,1.17339,5.07153,1.65796
733.938,6.31904,1.24298,5.33496,1.72472
770.635,6.60764,1.31608,5.6112,1.79476
809.166,6.91049,1.39286,5.90103,1.86824
849.625,7.2281,1.47345,6.20466,1.94526
892.106,7.56149,1.55811,6.52328,2.02607
936.711,7.9113,1.647,6.85732,2.11083
983.547,8.27832,1.74031,7.20749,2.19972
1032.72,8.66343,1.83827,7.57453,2.29282
1084.36,9.06753,1.94112,7.95942,2.3905
1138.58,9.49154,2.04907,8.36281,2.49281
1195.51,9.93657,2.16237,8.78568,2.60017
1255.28,10.4035,2.28129,9.2289,2.71269
1318.05,10.8935,2.40609,9.69338,2.83054
1383.95,11.4075,2.53706,10.1801,2.95402
1453.15,11.9468,2.67448,10.6901,3.08347
1525.8,12.5125,2.81868,11.2245,3.21905
1602.09,13.1061,2.96998,11.7844,3.36109
1682.2,13.7287,3.12873,12.371,3.5099
1766.31,14.3819,3.29527,12.9855,3.66576
1854.62,15.0672,3.46999,13.6291,3.82898
1947.36,15.786,3.65327,14.3033,3.99993
2044.72,16.54,3.84553,15.0093,4.17888
2146.96,17.331,4.04721,15.7486,4.36626
2254.31,18.1606,4.25873,16.5227,4.5624
2367.02,19.0307,4.48058,17.3331,4.76774
2485.37,19.9434,4.71325,18.1814,4.98261
2609.64,20.9006,4.95725,19.0693,5.20749
2740.12,21.9044,5.21313,19.9986,5.44276
2877.13,22.9572,5.48144,20.971,5.6889
3020.99,24.0612,5.76278,21.9884,5.94636
3172.04,25.2189,6.05777,23.0527,6.21561
3330.64,26.4328,6.36705,24.166,6.49717
3497.17,27.7056,6.69129,25.3303,6.79156
3672.03,29.0402,7.0312,26.5478,7.09929
3855.63,30.4394,7.38752,27.8207,7.42093
4048.41,31.9063,7.76102,29.1512,7.75704
4250.83,33.4441,8.1525,30.5418,8.10823
4463.37,35.0561,8.5628,31.995,8.47508
4686.54,36.7458,8.9928,33.5131,8.85826
4920.87,38.5168,9.44341,35.0988,9.25837
5166.91,40.373,9.91558,36.7546,9.67606
5425.26,42.3181,10.4103,38.4834,10.112
5696.52,44.3566,10.9286,40.288,10.5669
5981.35,46.4959,11.4725,42.1742,11.0423
6280.42,48.7325,12.041,44.138,11.5371
6594.44,51.0769,12.6368,46.1871,12.0531
6924.16,53.5375,13.2619,48.3276,12.592
7270.37,56.1087,13.915,50.5541,13.1524
7633.88,58.803,14.5993,52.8751,13.7364
8015.58,61.6309,15.3173,55.298,14.3458
8416.36,64.5843,16.067,57.8157,14.9788
8837.18,67.6782,16.8522,60.4377,15.6378
9279.03,70.9238,17.6757,63.1712,16.3246
9742.99,74.3139,18.5357,66.0103,17.0377
10230.1,77.8633,19.4359,68.9632,17.7791
10741.6,81.5838,20.3792,72.0368,18.5506
11278.7,85.4714,21.3647,75.2276,19.3511
11842.7,89.5422,22.3964,78.5439,20.1829
12434.8,93.7985,23.4749,81.9857,21.0458
13056.5,98.2519,24.603,85.5587,21.9412
13709.4,102.907,25.7819,89.2635,22.8694
14394.8,107.776,27.0147,93.106,23.8317
15114.6,112.864,28.3025,97.0863,24.8281
15870.3,118.184,29.6489,101.21,25.8601
16663.8,123.744,31.0556,105.48,26.9281
17497,129.547,32.5236,109.895,28.0319
18371.9,135.615,34.058,114.463,29.1735
19290.4,141.953,35.6602,119.184,30.353
20255,148.571,37.333,124.061,31.5708
21267.7,155.48,39.0787,129.095,32.8275
22331.1,162.69,40.9001,134.288,34.1232
23447.7,170.212,42.7998,139.642,35.4584
24620,178.058,44.7807,145.157,36.8334
25851,186.239,46.8457,150.836,38.2484
27143.6,194.767,48.9978,156.678,39.7034
28500.8,203.654,51.2399,162.685,41.1987
29925.8,212.913,53.5749,168.855,42.7342
31422.1,222.555,56.006,175.191,44.3097
32993.2,232.589,58.5352,181.688,45.9249
34642.9,243.027,61.1656,188.348,47.5795
36375,253.882,63.9003,195.167,49.2731
38193.8,265.167,66.7423,202.146,51.0053
40103.5,276.893,69.6947,209.282,52.7755
42108.6,289.072,72.7602,216.573,54.5832
44214.1,301.717,75.9419,224.016,56.4275
46424.8,314.838,79.2426,231.608,58.3078
48746,328.448,82.665,239.345,60.2231
51183.3,342.557,86.2117,247.225,62.1724
53742.5,357.175,89.8854,255.242,64.1547
56429.6,372.313,93.6886,263.394,66.1688
59251.1,387.981,97.6235,271.673,68.2135
62213.6,404.188,101.692,280.077,70.2874
65324.3,420.942,105.897,288.599,72.3893
68590.5,438.251,110.24,297.234,74.5177
72020,456.123,114.723,305.976,76.6711
75621,474.564,119.346,314.82,78.848
79402.1,493.579,124.112,323.758,81.0467
83372.2,513.173,129.021,332.784,83.2657
87540.8,533.349,134.074,341.893,85.5033
91917.8,554.111,139.272,351.076,87.7577
96513.7,575.459,144.614,360.328,90.0273
101339,597.394,150.101,369.642,92.3103
106406,619.916,155.733,379.01,94.605
111727,643.022,161.508,388.426,96.9096
117313,666.708,167.427,397.883,99.2225
123179,690.971,173.486,407.374,101.542
129338,715.796,179.684,416.89,103.866
135805,741.165,186.014,426.425,106.192
142595,767.07,192.476,435.972,108.519
149724,793.502,199.066,445.523,110.846
157211,820.448,205.781,455.072,113.17
165071,847.894,212.617,464.613,115.49
173325,875.827,219.571,474.141,117.804
181991,904.229,226.639,483.648,120.112
191091,933.084,233.816,493.129,122.411
200645,962.373,241.097,502.579,124.7
210677,992.076,248.478,511.991,126.979
221211,1022.17,255.952,521.362,129.245
232272,1052.65,263.516,530.685,131.497
243885,1083.47,271.162,539.954,133.734
256080,1114.62,278.885,549.145,135.95
268884,1146.08,286.68,558.224,138.137
282328,1177.81,294.54,567.179,140.291
296444,1209.81,302.459,576.004,142.413
311266,1242.03,310.43,584.694,144.499
326830,1274.47,318.448,593.243,146.549
343171,1307.08,326.506,601.647,148.563
360330,1339.86,334.597,609.901,150.538
378346,1372.76,342.717,618.002,152.475
397264,1405.78,350.857,625.946,154.371
417127,1438.83,359.001,633.739,156.23
437983,1471.71,367.099,641.399,158.055
459882,1504.22,375.098,648.924,159.846
482876,1536.31,382.988,656.315,161.602
507020,1567.9,390.75,663.569,163.324
532371,1599.01,398.388,670.69,165.012
558990,1629.57,405.886,677.677,166.667
586939,1659.57,413.241,684.531,168.288
616286,1688.98,420.443,691.254,169.876
647101,1717.76,427.488,697.849,171.431
679456,1745.89,434.368,704.316,172.955
713428,1773.43,441.098,710.659,174.448
749100,1800.39,447.681,716.881,175.909
786555,1826.77,454.115,722.983,177.341
825883,1852.55,460.398,728.969,178.744
867177,1877.73,466.53,734.841,180.119
910536,1902.31,472.512,740.604,181.465
956062,1926.31,478.343,746.26,182.786
1.00387e+06,1949.7,484.025,751.812,184.08
1.05406e+06,1972.51,489.56,757.264,185.349
1.10676e+06,1994.75,494.948,762.619,186.593
1.1621e+06,2016.41,500.193,767.881,187.815
1.2202e+06,2037.51,505.296,773.053,189.013
1.28121e+06,2058.05,510.262,778.137,190.19
1.34528e+06,2078.07,515.093,783.139,191.346
1.41254e+06,2097.56,519.793,788.06,192.482
1.48317e+06,2116.54,524.365,792.904,193.598
1.55732e+06,2135.02,528.813,797.675,194.696
1.63519e+06,2153.03,533.141,802.375,195.776
1.71695e+06,2170.57,537.353,807.008,196.838
1.8028e+06,2187.66,541.452,811.577,197.885
1.89294e+06,2204.32,545.443,816.085,198.916
1.98758e+06,2220.56,549.329,820.535,199.933
2.08696e+06,2236.4,553.114,824.93,200.935
2.19131e+06,2251.85,556.802,829.274,201.924
2.30088e+06,2266.93,560.398,833.57,202.901
2.41592e+06,2281.66,563.904,837.82,203.866
2.53672e+06,2296.04,567.324,842.029,204.82
2.66355e+06,2310.09,570.662,846.198,205.764
2.79673e+06,2323.83,573.921,850.331,206.698
2.93657e+06,2337.27,577.105,854.432,207.623
3.0834e+06,2350.42,580.217,858.503,208.541
3.23757e+06,2363.29,583.26,862.547,209.451
3.39944e+06,2375.91,586.238,866.567,210.354
3.56942e+06,2388.28,589.154,870.566,211.251
3.74789e+06,2400.42,592.011,874.547,212.142
3.93528e+06,2412.33,594.811,878.512,213.029
4.13205e+06,2424.04,597.559,882.464,213.911
4.33865e+06,2435.54,600.256,886.407,214.79
4.55558e+06,2446.86,602.905,890.341,215.666
4.78336e+06,2458,605.51,894.27,216.54
5.02253e+06,2468.98,608.073,898.197,217.411
5.27365e+06,2479.8,610.596,902.123,218.281
5.53734e+06,2490.48,613.081,906.051,219.15
5.8142e+06,2501.03,615.533,909.983,220.019
6.10491e+06,2511.45,617.951,913.921,220.888
6.41016e+06,2521.75,620.34,917.868,221.757
6.73067e+06,2531.95,622.7,921.825,222.628
7.0672e+06,2542.05,625.034,925.793,223.5
7.42056e+06,2552.06,627.344,929.763,224.37
7.79159e+06,2561.99,629.631,933.733,225.24
8.18117e+06,2571.84,631.897,937.708,226.109
8.59023e+06,2581.62,634.145,941.692,226.979
9.01974e+06,2591.34,636.375,945.687,227.85
9.47073e+06,2601,638.586,949.696,228.723
9.94426e+06,2610.53,640.766,953.725,229.599
1e+07,2611.61,641.014,954.187,229.7
